Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K7MQGF338AKVCREFX20CNS6X,astrid-curve,Astrid Curve,,,published,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,,,,,,,pcol_01K7MQ9ZG3NSRGQQYSHHNH6HMH,,true,,2025-10-15T20:03:15.175Z,,,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:03:15.175Z,variant_01K7MQGF46BV2DSCSNQ1679E1W,Purple / Microfiber,,,,,,false,false,,2025-10-15T20:03:15.207Z,,,,,,Color,Purple,Material,Microfiber,,1300,prod_01K7MQGF338AKVCREFX20CNS6X,2025-10-15T20:03:15.207Z,2,,
prod_01K7MQGF338AKVCREFX20CNS6X,astrid-curve,Astrid Curve,,,published,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,,,,,,,pcol_01K7MQ9ZG3NSRGQQYSHHNH6HMH,,true,,2025-10-15T20:03:15.175Z,,,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:03:15.175Z,variant_01K7MQGF46WAQ76BNVTF6609G9,Dark Gray / Velvet,,,,,,false,false,,2025-10-15T20:03:15.207Z,,,,,,Color,Dark Gray,Material,Velvet,,1300,prod_01K7MQGF338AKVCREFX20CNS6X,2025-10-15T20:03:15.207Z,1,,
prod_01K7MQGF338AKVCREFX20CNS6X,astrid-curve,Astrid Curve,,,published,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,,,,,,,pcol_01K7MQ9ZG3NSRGQQYSHHNH6HMH,,true,,2025-10-15T20:03:15.175Z,,,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:03:15.175Z,variant_01K7MQGF46WENHEAKXNS4XK6E1,Purple / Velvet,,,,,,false,false,,2025-10-15T20:03:15.207Z,,,,,,Color,Purple,Material,Velvet,,1300,prod_01K7MQGF338AKVCREFX20CNS6X,2025-10-15T20:03:15.207Z,0,,
prod_01K7MQGF338AKVCREFX20CNS6X,astrid-curve,Astrid Curve,,,published,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,,,,,,,pcol_01K7MQ9ZG3NSRGQQYSHHNH6HMH,,true,,2025-10-15T20:03:15.175Z,,,http://localhost:9000/static/1760558595157-astrid-curve-01K7MMCZQ8GRG04Q3RWGCCRSRR.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:03:15.175Z,variant_01K7MQGF473CFCCEGP2CTY9MKD,Dark Gray / Microfiber,,,,,,false,false,,2025-10-15T20:03:15.207Z,,,,,,Color,Dark Gray,Material,Microfiber,,1300,prod_01K7MQGF338AKVCREFX20CNS6X,2025-10-15T20:03:15.207Z,3,,
prod_01K7MQMREADSFW4DTEEQX0WTXF,belime-estate,Belime Estate,,,published,http://localhost:9000/static/1760558735807-belime-estate-01K7MMD03JP6QWRPQ2ZFSS9840.png,,,,,,,pcol_01K7MQ9RTA959TJPB4PAAF9E5M,,true,,2025-10-15T20:05:35.819Z,,,http://localhost:9000/static/1760558735807-belime-estate-01K7MMD03JP6QWRPQ2ZFSS9840.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:05:35.819Z,variant_01K7MQMRF27N33TYNTSS59ZVSN,Red / Linen,,,,,,false,false,,2025-10-15T20:05:35.843Z,,,,,,Color,Red,Material,Linen,,1600,prod_01K7MQMREADSFW4DTEEQX0WTXF,2025-10-15T20:05:35.843Z,0,,
prod_01K7MQMREADSFW4DTEEQX0WTXF,belime-estate,Belime Estate,,,published,http://localhost:9000/static/1760558735807-belime-estate-01K7MMD03JP6QWRPQ2ZFSS9840.png,,,,,,,pcol_01K7MQ9RTA959TJPB4PAAF9E5M,,true,,2025-10-15T20:05:35.819Z,,,http://localhost:9000/static/1760558735807-belime-estate-01K7MMD03JP6QWRPQ2ZFSS9840.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:05:35.819Z,variant_01K7MQMRF3BW8C46ZFGN80WDFS,Blue / Linen,,,,,,false,false,,2025-10-15T20:05:35.843Z,,,,,,Color,Blue,Material,Linen,,1600,prod_01K7MQMREADSFW4DTEEQX0WTXF,2025-10-15T20:05:35.843Z,2,,
prod_01K7MQMREADSFW4DTEEQX0WTXF,belime-estate,Belime Estate,,,published,http://localhost:9000/static/1760558735807-belime-estate-01K7MMD03JP6QWRPQ2ZFSS9840.png,,,,,,,pcol_01K7MQ9RTA959TJPB4PAAF9E5M,,true,,2025-10-15T20:05:35.819Z,,,http://localhost:9000/static/1760558735807-belime-estate-01K7MMD03JP6QWRPQ2ZFSS9840.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:05:35.819Z,variant_01K7MQMRF3V1NFYB90SGYSQWZG,Beige / Boucle,,,,,,false,false,,2025-10-15T20:05:35.843Z,,,,,,Color,Beige,Material,Boucle,,1600,prod_01K7MQMREADSFW4DTEEQX0WTXF,2025-10-15T20:05:35.843Z,4,,
prod_01K7MQRD969NH5T2ZKWT1XV8ZA,cypress-retreat,Cypress Retreat,,,published,http://localhost:9000/static/1760558855452-cypress-retreat-01K7MMD0GZHY2BPMB1XZ13HX7A.png,,,,,,,pcol_01K7MQ9RTA959TJPB4PAAF9E5M,,true,,2025-10-15T20:07:35.463Z,,,http://localhost:9000/static/1760558855452-cypress-retreat-01K7MMD0GZHY2BPMB1XZ13HX7A.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:07:35.463Z,variant_01K7MQRDA6HAT29TY10B6GR663,Violet / Leather,,,,,,false,false,,2025-10-15T20:07:35.494Z,,,,,,Color,Violet,Material,Leather,,2000,prod_01K7MQRD969NH5T2ZKWT1XV8ZA,2025-10-15T20:07:35.494Z,0,,
prod_01K7MQRD969NH5T2ZKWT1XV8ZA,cypress-retreat,Cypress Retreat,,,published,http://localhost:9000/static/1760558855452-cypress-retreat-01K7MMD0GZHY2BPMB1XZ13HX7A.png,,,,,,,pcol_01K7MQ9RTA959TJPB4PAAF9E5M,,true,,2025-10-15T20:07:35.463Z,,,http://localhost:9000/static/1760558855452-cypress-retreat-01K7MMD0GZHY2BPMB1XZ13HX7A.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:07:35.463Z,variant_01K7MQRDA6KMXCQN5QB0QRW7Q5,Beige / Leather,,,,,,false,false,,2025-10-15T20:07:35.494Z,,,,,,Color,Beige,Material,Leather,,2000,prod_01K7MQRD969NH5T2ZKWT1XV8ZA,2025-10-15T20:07:35.494Z,1,,
prod_01K7MQTYGY8FJ6J07ZKB6TJ770,everly-estate,Everly Estate,,,published,http://localhost:9000/static/1760558938644-everly-estate-01K7MMD0X7SE0KJ818KB801W23.png,,,,,,,pcol_01K7MQ9E4NAED3QS1TTYCM63NM,,true,,2025-10-15T20:08:58.655Z,,,http://localhost:9000/static/1760558938644-everly-estate-01K7MMD0X7SE0KJ818KB801W23.png,false,,sc_01K7MNYAQZE2994KCP766BHMEA,2025-10-15T20:08:58.655Z,variant_01K7MQTYHM477B6G69D7TE2GVT,Black / Microfiber,,,,,,false,false,,2025-10-15T20:08:58.677Z,,,,,,Color,Black,Material,Microfiber,,1650,prod_01K7MQTYGY8FJ6J07ZKB6TJ770,2025-10-15T20:08:58.677Z,2,,
